Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	nodes	SNP	SNP_chr	SNP_pos_hg19	distance	index
ENSG00000158315.6	RHBDL2	chr1	gene	39351479	39407471	-	ENSG00000158315.6	protein_coding	KNOWN	2	RHBDL2	RHBDL2	1	rs3768321	chr1	40035928	-684449	19
ENSG00000174574.9	AKIRIN1	chr1	gene	39456895	39471731	+	ENSG00000174574.9	protein_coding	KNOWN	2	AKIRIN1	AKIRIN1	1	rs3768321	chr1	40035928	-579033	16
ENSG00000168653.6	NDUFS5	chr1	gene	39491990	39500308	+	ENSG00000168653.6	protein_coding	KNOWN	2	NDUFS5	NDUFS5	1	rs3768321	chr1	40035928	-543938	15
ENSG00000127603.17	MACF1	chr1	gene	39546988	39952849	+	ENSG00000127603.17	protein_coding	KNOWN	1	MACF1	MACF1	1	rs3768321	chr1	40035928	-488940	13
ENSG00000183682.7	BMP8A	chr1	gene	39957318	39991607	+	ENSG00000183682.7	protein_coding	KNOWN	2	BMP8A	BMP8A	1	rs3768321	chr1	40035928	-78610	3
ENSG00000090621.8	PABPC4	chr1	gene	40026488	40042462	-	ENSG00000090621.8	protein_coding	KNOWN	1	PABPC4	PABPC4	1	rs3768321	chr1	40035928	-9440	1
ENSG00000163909.6	HEYL	chr1	gene	40089825	40105617	-	ENSG00000163909.6	protein_coding	KNOWN	2	HEYL	HEYL	1	rs3768321	chr1	40035928	53897	2
ENSG00000116981.3	NT5C1A	chr1	gene	40124793	40137710	-	ENSG00000116981.3	protein_coding	KNOWN	2	NT5C1A	NT5C1A	1	rs3768321	chr1	40035928	88865	4
ENSG00000116983.7	HPCAL4	chr1	gene	40144320	40157361	-	ENSG00000116983.7	protein_coding	KNOWN	2	HPCAL4	HPCAL4	1	rs3768321	chr1	40035928	108392	5
ENSG00000084072.12	PPIE	chr1	gene	40157854	40229586	+	ENSG00000084072.12	protein_coding	KNOWN	1	PPIE	PPIE	1	rs3768321	chr1	40035928	121926	6
ENSG00000116985.6	BMP8B	chr1	gene	40222854	40254533	-	ENSG00000116985.6	protein_coding	KNOWN	2	BMP8B	BMP8B	1	rs3768321	chr1	40035928	186926	7
ENSG00000198754.4	OXCT2	chr1	gene	40235195	40237020	-	ENSG00000198754.4	protein_coding	KNOWN	2	OXCT2	OXCT2	1	rs3768321	chr1	40035928	199267	8
ENSG00000043514.9	TRIT1	chr1	gene	40306708	40349183	-	ENSG00000043514.9	protein_coding	KNOWN	2	TRIT1	TRIT1	1	rs3768321	chr1	40035928	270780	9
ENSG00000116990.9	MYCL1	chr1	gene	40361098	40367928	-	ENSG00000116990.9	protein_coding	KNOWN	2	MYCL1	MYCL	1	rs3768321	chr1	40035928	325170	10
ENSG00000168389.13	MFSD2A	chr1	gene	40420802	40435638	+	ENSG00000168389.13	protein_coding	KNOWN	2	MFSD2A	MFSD2A	1	rs3768321	chr1	40035928	384874	11
ENSG00000131236.11	CAP1	chr1	gene	40505905	40538321	+	ENSG00000131236.11	protein_coding	KNOWN	2	CAP1	CAP1	1	rs3768321	chr1	40035928	469977	12
ENSG00000131238.10	PPT1	chr1	gene	40538379	40563375	-	ENSG00000131238.10	protein_coding	KNOWN	1	PPT1	PPT1	1	rs3768321	chr1	40035928	502451	14
ENSG00000117000.6	RLF	chr1	gene	40627045	40706593	+	ENSG00000117000.6	protein_coding	KNOWN	2	RLF	RLF	1	rs3768321	chr1	40035928	591117	17
ENSG00000188800.5	TMCO2	chr1	gene	40711619	40717363	+	ENSG00000188800.5	protein_coding	KNOWN	2	TMCO2	TMCO2	1	rs3768321	chr1	40035928	675691	18
ENSG00000084073.4	ZMPSTE24	chr1	gene	40723779	40759856	+	ENSG00000084073.4	protein_coding	KNOWN	2	ZMPSTE24	ZMPSTE24	1	rs3768321	chr1	40035928	687851	20
ENSG00000186094.11	AGBL4	chr1	gene	48998527	50489585	-	ENSG00000186094.11	protein_coding	KNOWN	2	AGBL4	AGBL4	1	rs58432198	chr1	51256091	-2257564	11
ENSG00000162374.12	ELAVL4	chr1	gene	50513686	50669458	+	ENSG00000162374.12	protein_coding	KNOWN	2	ELAVL4	ELAVL4	1	rs58432198	chr1	51256091	-742405	8
ENSG00000142700.7	DMRTA2	chr1	gene	50883222	50889172	-	ENSG00000142700.7	protein_coding	KNOWN	2	DMRTA2	DMRTA2	1	rs58432198	chr1	51256091	-372869	4
ENSG00000185104.13	FAF1	chr1	gene	50905150	51425935	-	ENSG00000185104.13	protein_coding	KNOWN	2	FAF1	FAF1	1	rs58432198	chr1	51256091	-350941	3
ENSG00000123080.6	CDKN2C	chr1	gene	51426417	51440305	+	ENSG00000123080.6	protein_coding	KNOWN	2	CDKN2C	CDKN2C	1	rs58432198	chr1	51256091	170326	1
ENSG00000204006.4	C1orf185	chr1	gene	51567906	51613752	+	ENSG00000204006.4	protein_coding	KNOWN	2	C1orf185	C1orf185	1	rs58432198	chr1	51256091	311815	2
ENSG00000123091.4	RNF11	chr1	gene	51701943	51739127	+	ENSG00000123091.4	protein_coding	KNOWN	2	RNF11	RNF11	1	rs58432198	chr1	51256091	445852	5
ENSG00000085831.11	TTC39A	chr1	gene	51752930	51810788	-	ENSG00000085831.11	protein_coding	KNOWN	2	TTC39A	TTC39A	1	rs58432198	chr1	51256091	496839	6
ENSG00000085832.12	EPS15	chr1	gene	51819935	51985000	-	ENSG00000085832.12	protein_coding	KNOWN	2	EPS15	EPS15	1	rs58432198	chr1	51256091	563844	7
ENSG00000117859.14	OSBPL9	chr1	gene	52042851	52254889	+	ENSG00000117859.14	protein_coding	KNOWN	2	OSBPL9	OSBPL9	1	rs58432198	chr1	51256091	786760	9
