Name	official_name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	nodes	SNP	SNP_chr	SNP_pos_hg19	distance	index	dist	cap4_enhancer_no	fantom5_enhancer_no	Adipose_Tissue	Liver	Muscle	Pancreas	extra_weight
ENSG00000158315	RHBDL2	RHBDL2	chr1	gene	39351479	39407471	-	ENSG00000158315.6	protein_coding	KNOWN	2	RHBDL2	1	rs3768321	chr1	40035928	-684449	19	628457	146	0	-0.0105514333362679	-0.0642504439339697	-0.0766759399234318	-0.0493275342818963	0.0629400077635686
ENSG00000174574	AKIRIN1	AKIRIN1	chr1	gene	39456895	39471731	+	ENSG00000174574.9	protein_coding	KNOWN	2	AKIRIN1	1	rs3768321	chr1	40035928	-579033	16	579033	202	1	-0.00118194388208883	0.0156987991108549	0.00591270225251413	-0.0184684527713514	0.807262223527264
ENSG00000168653	NDUFS5	NDUFS5	chr1	gene	39491990	39500308	+	ENSG00000168653.6	protein_coding	KNOWN	2	NDUFS5	1	rs3768321	chr1	40035928	-543938	15	543938	0	0	0.00294154923414442	0.00589861113921436	0.0565932798868753	-0.0139212238867205	0.215731581204496
ENSG00000127603	MACF1	MACF1	chr1	gene	39546988	39952849	+	ENSG00000127603.17	protein_coding	KNOWN	1	MACF1	1	rs3768321	chr1	40035928	-488940	13	488940	170	4	0.00185453077773039	-0.0166240593609115	-0.00610076793755633	-0.0225238312439619	0.51694232611086
ENSG00000183682	BMP8A	BMP8A	chr1	gene	39957318	39991607	+	ENSG00000183682.7	protein_coding	KNOWN	2	BMP8A	1	rs3768321	chr1	40035928	-78610	3	78610	22	3	-0.0337428112873269	-0.0165406545391604	-0.0140044736080914	0.0299562025761055	0.340761874853904
ENSG00000090621	PABPC4	PABPC4	chr1	gene	40026488	40042462	-	ENSG00000090621.8	protein_coding	KNOWN	1	PABPC4	1	rs3768321	chr1	40035928	-9440	1	6534	180	3	0.0055265711549574	-0.00672972888537489	0.0847381277622413	0.0730835675803803	3.44938651902784
ENSG00000163909	HEYL	HEYL	chr1	gene	40089825	40105617	-	ENSG00000163909.6	protein_coding	KNOWN	2	HEYL	1	rs3768321	chr1	40035928	53897	2	69689	164	1	0.0133206908636976	-0.0539571714440797	-0.0254851693852718	0.106538658745979	2.54623115616247
ENSG00000116981	NT5C1A	NT5C1A	chr1	gene	40124793	40137710	-	ENSG00000116981.3	protein_coding	KNOWN	2	NT5C1A	1	rs3768321	chr1	40035928	88865	4	101782	100	0	-0.0304421774403205	-0.0525175382900661	0.23853994709377	0.085306782386401	5.69206299418754
ENSG00000116983	HPCAL4	HPCAL4	chr1	gene	40144320	40157361	-	ENSG00000116983.7	protein_coding	KNOWN	2	HPCAL4	1	rs3768321	chr1	40035928	108392	5	121433	64	0	-0.0910433431167756	-0.111360478006786	0.117053642032301	0.144500510789731	3.05314893544159
ENSG00000084072	PPIE	PPIE	chr1	gene	40157854	40229586	+	ENSG00000084072.12	protein_coding	KNOWN	1	PPIE	1	rs3768321	chr1	40035928	121926	6	121926	64	2	-0.00916116974336587	0.00200034590394054	0.0108326183205169	0.0191072420204996	0.515035702897765
